Gene_ID,L15,S15,R15,L20,S20,R20,L25,S25,R25,L30,S30,R30,Bd,Flwr,YSe,MSe
AhKP_16362,12684.76514,1930.63679,1311.405767,12840.99148,1733.230445,505.3659677,13695.72958,1364.390913,881.4057722,12816.68365,1951.001472,832.8858365,1048.41368,1654.617125,1599.12524,1278.412984
AhKP_16363,1582.910922,1008.32029,1242.885291,1605.123935,1118.524237,1208.093792,1652.131613,1093.081747,1133.631952,1614.982889,1183.661981,1274.82526,2695.268285,5027.686912,1665.927275,2158.041174
AhKP_16366,2328.189199,1846.115825,1374.216202,3301.270142,1833.270868,1409.442758,4361.534512,1903.086702,1390.477659,3772.779471,2023.109616,1701.728283,1080.962471,10913.32344,1632.113899,1396.497314
AhKP_16364,6.443328041,2.224235933,0,3.914936427,3.615918871,0,0,0,2.771716265,0,2.721062025,1.961269631,2.284125665,0,4.123582363,0.500357332
AhKP_16368,115.9799047,179.4216986,432.0596648,215.3215035,431.4996519,551.2177123,178.9228329,425.5958237,437.9311698,145.7970664,382.3092146,458.2833371,692.0900765,0,434.6255811,545.3894921
AhKP_16367,19.32998412,2.965647911,5.075590776,15.65974571,5.423878306,5.980662339,6.971019465,3.922542154,26.79325723,26.91638148,4.081593038,6.537565436,11.99165974,58.72869425,8.247164726,6.504645319
AhKP_16371,161.083201,131.971332,152.9021721,216.3002376,136.1996108,138.5520109,209.1305839,125.5213489,121.9555156,148.0400982,136.0531013,128.1362825,146.755074,186.3997687,178.1387581,139.0993384
AhKP_16370,4181.719898,2088.557541,2231.356595,3706.466062,1958.020069,2070.305946,3597.046044,1970.423675,2105.580456,1635.170175,873.4609101,1338.893401,2156.214628,2091.2522,2174.777338,2019.442193
AhKP_16369,1052.410247,404.0695279,400.9716713,810.3918403,367.6184185,306.0105563,718.0150049,361.5276352,333.5298572,215.3310519,68.02655063,109.8310993,423.1342795,186.3997687,304.3203784,326.733338
AhKP_16372,12931.75938,3750.803195,1056.991779,18827.90801,3881.086255,915.0413379,14743.70617,3493.023788,960.8616384,16421.23574,3231.261155,1164.994161,2441.159305,20.42737191,1587.57921,1793.280679
AhKP_16373,66.58105642,118.6259164,125.6208717,134.0865726,134.3916514,103.6648139,276.5171054,134.6739473,114.5642723,340.9408321,236.7323962,90.87215956,526.4909658,36215.17698,641.6294157,255.6825968
AhKP_16374,906.3614777,602.0265259,643.3311308,874.0095573,588.1894697,750.5731236,917.8508962,533.465733,566.3540234,776.0889995,651.6943551,643.2964389,955.9065909,1542.266579,726.5752124,781.558153
AhKP_16375,339.3486101,342.5323337,492.9667541,429.6642728,359.1812745,441.572236,422.9085142,221.6236317,433.3116427,450.8493899,291.1536367,553.0780359,322.0617188,150.6518679,256.486823,459.8283883
AhKP_16378,42.95552027,15.56965153,521.5169522,26.42582088,17.47694121,76.75183335,69.71019465,35.30287939,55.43432529,134.5819074,72.10814367,49.03174077,544.1929397,352.3721655,833.7883538,1788.777463
AhKP_16376,745.2782767,1301.919433,1251.767575,753.6252621,1323.426307,1208.093792,634.3627713,1384.003623,1192.761899,823.1926671,1502.026238,1221.87098,978.7478475,324.2845291,1038.318039,993.2093045
AhKP_16377,1146.912391,1824.614877,1697.150666,1144.140171,1907.397204,1655.646691,982.9137445,1977.615003,1732.322665,980.2048924,1707.466421,1436.303126,1413.302755,405.9940168,1342.638417,1333.45229
AhKP_16379,85.91104054,56.34731031,60.90708931,23.48961856,58.45735508,37.87752815,11.61836577,51.64680503,42.49964939,29.15941327,58.50283355,43.14793188,125.0558802,227.2545125,77.52334843,76.55467183
AhKP_16380,921.3959098,1933.602438,1300.620136,906.3077828,1944.159046,1958.666916,862.0827405,1661.196602,1986.396656,598.889488,1323.796675,2275.072772,1268.260776,194.0600332,1001.205798,952.6803606
AhKP_16381,219.0731534,272.0981958,249.3383969,147.7888501,296.5053474,298.0363399,171.9518135,258.8877822,290.1063024,125.6097803,297.9562918,365.4499079,317.4934675,365.1392729,197.9319534,257.6840261
AhKP_16382,163.230977,76.3654337,108.4907528,230.9812492,74.12633685,50.83562988,290.4591444,62.10691744,96.08616384,547.2997568,186.3927487,177.8217799,123.9138173,160.8655538,141.0265168,216.1543675
AhKP_16383,49.39884831,40.77765877,101.5118155,21.53215035,19.28490064,5.980662339,85.97590673,27.45779508,29.56497349,69.5339855,58.50283355,33.99534027,77.66027261,148.0984464,165.768011,343.2451299
AhKP_16384,320.018626,321.7727983,374.9592685,412.0470589,363.3998465,299.033117,525.150133,424.9420667,228.2046391,560.7579476,348.2959392,258.8875913,674.959134,56.17527276,1100.171774,1010.721811
AhKP_16385,1400.349961,2419.968695,2231.991044,1236.141177,2286.466033,2393.261713,1352.377776,2573.84141,2858.563374,1359.277265,2336.031749,2450.933282,1985.476234,750.7059178,2326.525169,2002.930401
AhKP_16386,670.1061162,513.0570886,702.9693224,1289.971553,723.7864273,820.3475175,1547.566321,727.6315696,764.0697836,1372.735456,650.3338241,762.2801298,697.8003907,1006.048067,838.7366527,818.0842382
AhKP_16389,1829.905164,1202.570228,4500.78012,3238.631159,1262.558339,4755.623337,3845.679071,658.9870819,8094.335398,3449.782894,2533.308746,8266.751494,6858.08731,722.6182814,2114.573036,2008.934689
AhKP_16388,10.73888007,65.98566602,174.4734329,12.72354339,128.3651199,264.14592,18.58938524,37.91790749,178.3137464,4.486063581,63.9449576,144.4801961,30.26466506,0,13.19546356,30.02143993
AhKP_16387,156.787649,435.2088309,579.8862461,92.97974013,383.2874003,622.9856603,20.91305839,269.3478946,644.8859843,157.0122253,605.4363006,738.7448942,520.2096202,0,200.4061028,249.6783088
AhKP_16390,771.0515889,2439.245407,2411.540067,1398.611038,1726.601261,2285.609791,850.4643747,1695.845725,2679.325723,1105.814673,1506.107831,2278.995311,550.4742853,464.722711,878.3230433,973.6953685
AhKP_16391,8.591104054,233.544773,781.6409794,3.914936427,198.8755379,843.2733898,9.29469262,125.5213489,863.8515692,0,165.9847835,950.5620144,114.2062833,18218.66233,744.7189748,111.0793278
AhKP_16392,1338.064456,1431.666529,1362.161674,1014.947269,1201.087718,1215.071232,1110.715768,1333.010575,1312.869604,1049.738878,1027.200915,1223.178493,2672.99806,6646.556136,1797.057194,1929.87823
AhKP_16393,5758.187492,939.3689758,274.0819019,6866.798492,1140.219751,121.6068009,5586.110265,1081.967878,123.8033265,5221.778008,868.0187861,114.4073951,717.7864903,109.797124,575.6520979,688.4916892
AhKP_16394,150.3443209,2769.173737,2082.261116,207.4916306,285.6575908,368.8075109,23.23673155,774.7020754,419.4530614,85.23520803,172.7874386,199.3957458,137.0475399,114.903967,146.7995321,360.2572792
AhKP_16396,1778.358539,268.3911359,239.1872153,3313.014951,444.7580211,121.6068009,3044.011833,413.1744402,121.9555156,3658.38485,628.5653279,171.2842144,569.8893535,482.5966615,462.6659411,544.3887775
AhKP_16395,4.295552027,2.965647911,11.42007925,0,11.45040976,0,4.64734631,0,4.619527108,0,13.60531013,3.922539261,0.571031416,5.106842978,9.071881199,19.01357863
AhKP_16397,12.88665608,16.31106351,11.42007925,9.787341067,15.66898177,9.967770565,18.58938524,8.498841334,7.391243373,8.972127161,2.721062025,8.498835067,232.4097864,66.38895872,46.18412247,39.52822925
AhKP_16399,229.8120334,428.5361231,402.240569,331.7908622,387.5059723,538.2596105,408.9664753,283.7305492,428.6921156,993.6630831,394.5539937,630.8750646,603.580207,2088.698778,567.4049332,175.6254236
AhKP_16398,12.88665608,154.2136914,161.1500071,38.17063016,233.2267672,239.2264936,18.58938524,131.4051622,259.6174235,15.70122253,142.8557563,141.2114134,9.707534077,20.42737191,5.773015308,38.02715725
AhKP_16402,12.88665608,2.965647911,1.268897694,3.914936427,2.410612581,1.993554113,6.971019465,0,2.771716265,2.24303179,0,1.961269631,14.84681682,2.553421489,5.773015308,11.00786131
AhKP_16401,874.1448375,1037.976769,977.6856731,607.7938802,896.1452268,1214.074455,718.0150049,976.0592394,1214.011724,944.3163837,979.5823291,873.4187422,693.2321394,1703.132133,674.6180746,633.95274
AhKP_16400,871.9970615,369.2231649,235.3805222,741.8804529,331.4592298,272.1201364,731.9570438,243.1976136,222.6612066,708.7980458,325.166912,268.0401829,214.1367811,229.807934,204.5296852,280.7004634
AhKP_16403,17.18220811,7.414119777,52.6592543,4.893670533,11.45040976,45.8517446,6.971019465,1.307514051,36.03231144,2.24303179,8.163186076,18.95893976,37.68807347,5.106842978,23.91677771,21.51536529
AhKP_16404,0,12.60400362,114.8352413,1.957468213,5.423878306,178.4230931,9.29469262,3.922542154,155.2161108,0,4.081593038,170.6304579,5.139282747,426.4213887,28.86507654,21.01500795
AhKP_16405,481.101827,376.6372847,357.8291497,582.3467935,400.1616884,442.5690131,662.2468492,445.8622915,412.9857234,989.1770196,454.4173582,445.2082062,500.7945521,1971.24139,554.2094696,524.8748415
AhKP_16406,700.1749804,585.7154624,619.2220746,317.1098506,266.3726902,6.977439396,399.6717827,173.2456118,5.543432529,426.1760402,405.4382418,2.615026174,2960.226862,66.38895872,2377.657591,2754.967471
AhKP_16407,3178.7085,2609.770162,1562.64751,2880.414476,2228.611331,1281.855295,3181.108549,2329.336283,1386.782038,3330.902209,2703.375122,1747.491241,1586.896306,20705.69486,1774.789849,1558.61309
AhKP_16408,517.6140193,366.998929,321.0311166,759.4976668,427.8837331,380.7688356,857.4353942,324.9172418,340.9211006,571.9731065,382.3092146,400.0990047,329.4851272,206.8271406,283.7024666,328.23441
AhKP_16409,418.8163226,663.5637201,1331.073681,771.2424761,773.8066384,1803.169695,634.3627713,785.8159449,1230.642022,964.5036699,861.216131,1840.32467,477.9532954,334.4982151,593.7958603,753.037785
AhKP_16411,0,0,1.903346541,0,0,0,0,0,0,0,0,0,0,0,1.649432945,7.005002651
AhKP_16412,0,0,1.268897694,0,0,0,0,0,0,0,0,0,1.142062833,0,7.422448254,17.51250663
AhKP_16410,369.4174743,242.4417167,281.0608392,860.3072798,329.0486173,115.6261386,190.5411987,254.96524,100.705691,293.8371645,274.8272646,115.7149082,693.2321394,94.4765951,683.6899558,533.8812735
AhKP_16413,259.8808976,219.4579454,218.8848522,217.2789717,268.1806496,192.3779719,232.3673155,264.7715954,224.5090174,181.685575,157.8215975,152.3252747,239.2621634,434.0816532,196.2825205,213.6525809
AhKP_16414,783.9382449,939.3689758,921.2197258,821.1579155,1026.318306,888.1283574,1229.223099,966.906641,932.2205704,1004.878242,1126.519679,1105.502315,1186.032252,2134.660365,1155.427778,1150.821864
AhKP_16416,32.2166402,22.24235933,17.13011887,41.10683248,37.364495,34.88719698,32.53142417,31.38033723,41.57574397,49.34669939,27.21062025,14.38264396,30.83569648,58.72869425,28.04036007,40.02858658
AhKP_16419,38391.49624,544.9378036,185.8935122,34526.80308,532.7453803,52.829184,32568.60294,655.0645397,13.85858132,36956.19178,382.3092146,0.653756544,517.9254946,17.87395042,531.9421248,763.0449317
AhKP_16415,152.492097,43.00189471,15.22677233,228.0450469,28.32469782,11.96132468,246.3093544,26.15028103,11.08686506,179.4425432,21.7684962,15.0364005,24.5543509,58.72869425,28.86507654,28.52036794
AhKP_16417,49.39884831,54.86448635,66.61712893,93.95847424,53.63612992,49.83885283,123.1546772,70.60575877,79.45586626,71.77701729,53.06070949,66.0294109,74.23408412,61.28211574,120.408605,108.5775411
AhKP_16418,180.4131851,77.10684568,91.99508281,224.1301104,99.43776895,74.75827924,206.8069108,113.0999654,92.39054216,121.1237167,48.97911646,64.06814127,156.4626081,201.7202976,138.5523674,175.6254236
AhKP_16420,0,0,7.613386163,0,1.20530629,0,4.64734631,0,0,0,0,0,0.571031416,10.21368596,4.948298836,25.01786661
AhKP_16422,12.88665608,60.05437019,143.3854394,11.74480928,102.4510347,97.68415154,9.29469262,118.3300217,90.54273131,29.15941327,1250.328001,215.0859028,52.5348903,467.2761325,414.0076693,13.50964797
AhKP_16421,745.2782767,630.941593,561.4872296,662.6029902,548.4143621,806.3926387,634.3627713,519.7368354,629.1795921,708.7980458,682.9865684,953.1770405,300.9335564,411.1008598,442.0480293,406.2901538
AhKP_16427,1378.872201,946.0416836,1501.740421,1407.419645,1207.11425,1423.397637,987.5610909,891.070826,1159.501304,1363.763329,1778.214034,1442.840692,3491.857111,13390.14229,2350.441947,2286.132651
AhKP_16426,7532.250479,2771.397973,4934.108683,12721.58592,2055.649878,1719.440422,7561.232446,3060.890394,4725.776231,7866.312489,1157.811892,878.6487946,795.4467629,1256.283373,1731.904593,1554.109874
AhKP_16425,289.9497618,190.5428783,230.3049314,122.3417633,188.0277813,194.371526,225.396296,184.3594812,200.4874765,132.3388756,81.63186076,137.9426307,222.7022524,352.3721655,172.3657428,212.6518662
AhKP_16423,143.9009929,186.8358184,196.6791426,131.1503703,176.5773715,201.3489654,169.6281403,133.3664332,181.0854626,266.9207831,303.3984158,302.6892797,129.6241315,367.6926944,164.1185781,169.1207783
AhKP_16424,21.47776014,13.3454156,15.86122117,5.87240464,15.66898177,9.967770565,20.91305839,18.95895375,22.17373012,17.94425432,13.60531013,13.07513087,14.27578541,81.70948765,20.61791182,14.0100053
AhKP_16428,249.1420176,376.6372847,352.1191101,244.6835267,277.8230999,239.2264936,302.0775101,343.2224385,274.3999102,291.5941327,357.8196563,294.8442012,396.2958029,319.1776861,381.8437268,272.1943887
AhKP_16429,2716.936657,8002.059475,14399.45103,7119.311892,3546.613759,8874.306134,1210.633714,3172.029089,6868.312904,2738.741816,1614.950312,6060.976916,1352.773425,875.8235708,2053.544017,4243.530535
AhKP_16430,283.5064338,205.3711178,187.7968587,161.4911276,136.8022639,170.4488767,130.1256967,162.7854994,163.5312596,141.3110028,134.6925703,105.9085601,331.7692529,97.03001659,264.7339877,306.7190447
AhKP_16431,131.0143368,0.741411978,0,55.78784408,1.20530629,0.996777057,25.5604047,1.307514051,0,38.13154044,16.32637215,0,27.9805394,10.21368596,18.96847887,4.002858658
AhKP_16432,128.8665608,779.2239886,736.5951113,126.2566998,728.6076525,706.7149331,125.4783504,515.8142933,701.244215,157.0122253,640.810107,806.0818182,240.9752577,0,309.2686772,383.7740738
AhKP_16433,2536.523472,722.8766783,288.6742254,1889.93556,548.4143621,120.6100238,1087.479037,560.269771,155.2161108,1395.165774,971.4191431,185.6668584,669.8198513,321.7311076,793.3772467,846.6046062
AhKP_16434,199.7431693,190.5428783,236.6494199,270.1306134,220.5710511,235.2393853,232.3673155,166.0542845,213.4221524,127.8528121,93.87663988,122.2524736,403.7192113,214.4874051,272.9811524,360.2572792
AhKP_16435,292.0975378,329.1869181,329.9134004,277.9604863,382.082094,405.688262,211.4542571,438.6709642,398.2032367,237.7613698,346.9354082,564.1918971,461.3933844,12.76710745,286.176616,226.1615142
AhKP_16436,4216.084315,2330.999258,933.9087027,3665.35923,1486.745309,342.8913074,4603.19652,1759.913913,433.3116427,3517.073847,1361.891544,668.7929441,745.7670297,15.32052893,668.0203428,1002.215736
AhKP_16438,0,12.60400362,0.634448847,0.978734107,7.231837742,1.993554113,4.64734631,14.38265457,3.695621686,4.486063581,6.802655063,4.576295805,1.142062833,0,0,4.50321599
AhKP_16437,12.88665608,61.53719415,4.441141929,18.59594803,74.72899,7.974216452,18.58938524,60.14564636,13.85858132,22.4303179,42.17646139,11.11386124,13.70475399,0,13.19546356,15.5110773
AhKP_16439,0,0,1.268897694,0,0,1.993554113,0,0,5.543432529,0,0,3.268782718,1.142062833,0,0.824716473,2.001429329
AhKP_16440,0,40.77765877,24.10905618,3.914936427,64.48388653,29.9033117,4.64734631,35.95663641,17.55420301,2.24303179,48.97911646,32.03407064,24.5543509,5.106842978,42.88525658,65.04645319
AhKP_16441,8.591104054,83.0381415,90.72618511,1.957468213,148.2526737,11.96132468,0,111.7924514,4.619527108,8.972127161,110.203012,2.615026174,476.2402012,30.64105787,462.6659411,459.8283883
AhKP_16444,128.8665608,114.9188565,54.56260084,101.7883471,71.11307113,37.87752815,81.32856042,88.25719847,60.0538524,125.6097803,82.99239177,60.14560201,98.2174036,171.0792398,91.54352846,92.56610647
AhKP_16443,25.77331216,71.17554986,112.2974459,36.21316195,71.71572427,135.5616797,4.64734631,77.14332903,150.5965837,31.40244507,96.5977019,143.8264396,155.3205452,153.2052893,210.3027005,132.594693
AhKP_16442,2800.699922,977.1809866,383.8415524,2316.663631,994.9803426,194.371526,2981.272658,1166.302534,266.0847614,2705.096339,1051.690473,185.0131018,814.861831,107.2437025,886.5702081,753.037785
AhKP_16445,343.6441622,190.5428783,253.7795388,426.7280705,175.9747184,341.8945304,815.6092774,201.3571639,291.0302078,1009.364306,229.9297411,288.9603923,237.5490692,360.03243,370.2976962,260.6861701
AhKP_16451,216.9253774,116.4016805,165.5911491,169.3210005,145.239408,211.316736,181.2465061,122.9063208,208.8026253,188.4146704,138.7741633,241.8899211,181.016959,1067.330182,164.1185781,166.1186343
AhKP_16449,40.80774426,43.74330669,20.3023631,50.89417355,40.37776073,23.92264936,144.0677356,28.1115521,19.40201385,271.4068466,53.06070949,33.34158372,25.69641373,84.26290914,27.2156436,28.02001061
AhKP_16452,0,0,19.03346541,0,0,0,0,0,0,0,0,0,1.142062833,0,18.96847887,95.56825046
AhKP_16450,208.3342733,97.86638106,83.7472478,308.3012436,124.749201,102.6680368,476.3529968,132.7126762,104.4013126,419.4469448,160.5426595,178.4755364,70.80789562,201.7202976,100.6154097,74.5532425
AhKP_16446,328.6097301,218.7165334,148.4610302,337.6632668,215.749826,95.69059742,348.5509732,213.1247904,136.7380024,405.9887541,289.7931057,134.0200914,407.1453998,582.1800995,246.5902253,257.1836688
AhKP_16447,38.65996824,15.56965153,29.18464696,119.405561,37.96714814,18.93876407,85.97590673,39.22542154,19.40201385,40.37457223,25.85008924,12.42137433,4.56825133,5.106842978,14.84489651,31.0221546
AhKP_16453,111.6843527,39.29483482,38.70137966,157.5761912,50.62286419,24.91942641,130.1256967,50.993048,25.8693518,109.9085577,77.55026772,18.95893976,207.2844041,125.117653,117.9344556,86.56181848
AhKP_16454,1578.61537,803.6905838,481.5466748,1551.293559,844.3170564,432.6012425,1693.95773,799.5448424,412.9857234,1623.955016,725.1630298,383.7550911,1137.494581,245.128463,869.2511621,1073.766835
AhKP_16455,21.47776014,46.7089546,59.63819161,17.61721392,103.656341,15.9484329,16.26571208,122.2525638,35.10840602,56.07579476,122.4477911,20.92020939,171.8804563,51.06842978,220.1992982,224.1600848
AhKP_16456,103.0932486,11.86259164,4.441141929,74.38379211,14.46367548,9.967770565,204.4832376,6.537570257,4.619527108,109.9085577,5.442124051,7.191321979,3.426188498,0,10.72131414,12.50893331
AhKP_16457,335.0530581,915.6437925,652.2134147,251.5346654,435.1155708,664.8502967,174.2754866,426.9033378,563.5823072,204.1158929,408.1593038,560.2693578,167.312205,365.1392729,237.5183441,282.2015354
AhKP_16458,0,0,1.903346541,0,0,0,0,0,0,0,0,0,0,0,59.37958603,25.51822394
AhKP_16460,4.295552027,0,381.9382059,5.87240464,3.615918871,532.2789482,0,2.615028103,485.9742517,8.972127161,8.163186076,379.1787953,18.27300532,40.85474383,77.52334843,43.53108791
AhKP_16459,10.73888007,11.12117967,34.89468658,17.61721392,10.84775661,34.88719698,0,15.03641159,81.3036771,8.972127161,6.802655063,78.45078523,19.98609957,15.32052893,9.896597671,21.51536529
AhKP_16461,551.9784355,696.9272591,852.6992503,652.8156492,746.0845937,849.2540521,722.6623512,787.777216,777.0044595,645.9931556,836.7265728,817.1956795,595.5857672,242.5750415,804.9232773,876.6260461
AhKP_16462,861.2581814,1131.394678,1246.057535,730.1356436,1073.325252,1443.333178,701.7492928,1025.744773,1335.96724,679.6386325,921.0794956,1331.048323,1051.839869,6238.008698,1000.381081,875.1249741
AhKP_16463,55.84217635,23.72518329,76.76831048,60.68151461,33.14592298,14.95165585,44.14978994,15.03641159,36.03231144,35.88850865,31.29221329,30.72655755,105.0697806,0,240.81721,158.112917
AhKP_16464,567.0128676,391.4655242,704.2382201,620.5174236,489.957007,1039.63847,518.1791136,436.0559361,985.8070848,524.8694389,619.0416108,1147.342734,392.298583,1286.924431,502.2523318,448.820527
AhKP_16465,1286.517832,312.8758546,328.0100539,1211.672824,299.5186131,255.1749265,199.8358913,186.3207523,259.6174235,340.9408321,420.4040829,204.6257981,404.2902427,2747.481522,348.8550679,232.6661595
AhKP_16466,320.018626,356.6191613,511.3657706,414.9832612,384.4927066,463.5013313,355.5219927,432.787151,508.1479819,403.7457223,406.7987728,575.3057584,291.7970537,2180.621952,454.4187764,345.2465592
AhKP_16468,1310.143368,1660.76283,2012.471743,1671.677854,2014.066811,2183.938531,1819.43608,2113.596464,2196.123187,1908.820054,2002.701651,2365.291175,1510.949127,4371.457589,1802.005493,1671.693847
AhKP_16469,1488.408777,1973.638685,2224.377657,1682.443929,2135.200093,2450.078005,1582.421419,2073.717285,2312.53527,1819.098782,2008.143775,2556.841842,1726.799003,4343.369953,2095.604557,2059.971137
AhKP_16467,463.9196189,491.5561412,510.0968729,582.3467935,519.4870111,529.288617,632.0390981,535.427004,550.6476313,565.2440112,565.9809013,620.4149599,471.1009184,1325.225753,526.1691095,658.4702492
AhKP_16472,496.1362591,845.2096546,725.1750321,564.7295796,831.0586872,635.9437621,571.6235961,864.920545,628.2556867,533.8415661,707.4761266,636.1051169,632.7028092,130.2244959,672.9686417,587.4195081
AhKP_16471,47.2510723,38.55342284,26.64685157,59.70278051,33.14592298,23.92264936,48.79713625,49.03177693,32.33668975,38.13154044,8.163186076,15.0364005,149.0391996,265.5558349,92.36824493,72.05145584
AhKP_16470,27.92108818,36.32918691,21.5712608,33.27695963,34.35122927,15.9484329,6.971019465,18.95895375,16.63029759,35.88850865,31.29221329,16.34391359,102.2146235,109.797124,58.55486956,69.54966918
AhKP_16473,0,3.707059889,9.516732704,1.957468213,12.0530629,5.980662339,0,7.191327283,49.89089276,0,2.721062025,5.883808892,2.855157081,17.87395042,7.422448254,8.506074648
AhKP_16474,1346.65556,1795.69981,1124.243357,925.8824649,1751.31004,1062.564342,1126.98148,1846.209841,846.2973662,998.1491467,2329.229094,875.3800119,2087.119827,306.4105787,1763.243818,1681.700994
AhKP_16475,874.1448375,973.4739267,728.3472763,1252.779657,1045.603207,677.8083984,771.4594874,1302.937752,684.6139174,1101.328609,1414.952253,779.2777999,2934.530448,714.958017,1157.901928,1514.081287
AhKP_16477,2867.280978,3182.140208,2653.899527,2944.032193,3141.630846,2922.55033,1538.271629,3050.430282,2209.981768,1585.823476,2319.705377,2165.241672,2821.466228,35.74790085,2031.276672,1686.20421
AhKP_16478,1007.30695,763.654337,769.5864513,940.5634765,740.6607154,716.6827036,1138.599846,749.8593085,746.5155806,1063.197069,695.2313475,709.3258498,793.1626372,811.9880336,748.8425571,814.5817369
AhKP_16480,837.6326453,538.2650958,727.0783786,989.5001819,597.83192,821.3442946,1259.43085,589.6888372,702.1681204,984.690956,654.4154171,813.2731402,747.4801239,91.92317361,914.6105681,773.0520783
AhKP_16479,304.9841939,376.6372847,385.7448989,316.1311165,299.5186131,388.743052,241.6620081,389.6391873,424.0725885,237.7613698,262.5824854,302.6892797,499.6524892,497.9171904,363.6999644,385.7755032
AhKP_16481,811.8593331,549.3862755,378.1315128,638.1346376,438.7314897,339.9009763,543.7395183,469.3975444,332.6059518,578.7022019,450.3357652,399.4452481,301.5045878,449.4021821,257.3115395,287.2051087
AhKP_16482,2162.810446,1806.82099,1944.585716,2830.499037,1975.49701,1764.29539,2416.620081,1884.781505,1640.856029,2229.5736,1595.902878,1404.269056,2095.685298,602.6074714,1806.953792,1922.873228
AhKP_16483,1155.503495,559.0246312,522.7858499,1150.012575,523.10293,477.4562101,1110.715768,543.2720883,481.3547246,1202.26504,544.2124051,584.45835,604.1512384,648.5690582,597.0947262,739.5281371
AhKP_16485,30.06886419,65.98566602,54.56260084,113.5331564,100.0404221,95.69059742,76.68121411,37.26415046,70.21681204,71.77701729,21.7684962,75.18200251,360.8918551,10.21368596,47.83355541,65.04645319
AhKP_16484,575.6039716,874.1247217,935.1776004,624.4323601,915.4301275,1019.702929,652.9521565,952.5239864,974.7202198,677.3956007,953.7322399,1028.359043,644.694469,579.626678,705.9573006,556.8977108
AhKP_16486,42.95552027,126.7814482,158.6122117,41.10683248,138.0075702,141.542342,62.73917518,150.3641159,163.5312596,69.5339855,129.2504462,192.2044238,167.8832364,273.2160993,228.4464629,177.6268529
AhKP_16490,3438.589398,813.3289396,618.5876258,6616.242561,770.1907195,3.987108226,9880.258255,974.7517253,5.543432529,9952.332054,944.2085228,4.576295805,2671.284965,35.74790085,4248.939267,2897.569311
AhKP_16487,40.80774426,134.9369799,184.6246145,45.02176891,137.4049171,165.4649914,60.41550203,171.9380978,195.8679494,76.26308087,153.7400044,219.6621986,113.6352518,102.1368596,142.6759498,111.5796851
AhKP_16488,15.03443209,28.17365515,40.6047262,10.76607517,25.91408524,29.9033117,9.29469262,24.18900995,26.79325723,6.729095371,13.60531013,17.65142668,37.68807347,20.42737191,23.09206123,27.51965327
AhKP_16489,25.77331216,47.45036657,53.29370314,8.80860696,45.80163903,31.89686581,4.64734631,66.68321662,67.44509577,13.45819074,16.32637215,30.072801,42.2563248,15.32052893,39.58639069,31.0221546
AhKP_16492,4572.615133,3925.776422,3726.118078,5078.65128,3859.390742,2355.384185,7017.492928,3920.580883,2549.055058,7305.554541,4496.554997,2863.453661,2402.9002,6822.742219,6571.340854,8976.41054
AhKP_16491,163.230977,229.8377131,210.6370172,131.1503703,198.2728848,208.3264048,60.41550203,181.0906961,240.2154096,82.99217624,265.3035475,220.3159552,350.6132896,566.8595706,263.0845548,236.1686608
AhKP_16494,36.51219223,0.741411978,35.52913543,13.70227749,12.0530629,111.6390303,60.41550203,3.268785128,47.1191765,60.56185834,24.48955823,40.5329057,19.41506815,0,32.9886589,61.04359453
AhKP_16495,687.2883243,806.6562318,815.2667683,699.7948863,756.3296972,927.0026626,629.715425,861.6517599,846.2973662,715.5271411,712.9182506,887.8013862,1222.007231,3020.697622,931.1048976,1068.763262
AhKP_16499,2.147776014,2.965647911,1.268897694,3.914936427,0,0,44.14978994,3.268785128,12.01077048,0,2.721062025,3.268782718,2.284125665,0,1.649432945,1.000714664
AhKP_16497,118.1276807,392.9483482,141.4820929,97.87341067,589.394776,124.5971321,120.8310041,677.2922786,132.1184753,76.26308087,212.242838,100.0247512,184.4431475,81.70948765,214.4262829,164.6175623
AhKP_16496,393.0430105,1803.855342,724.5405832,507.9630014,2744.482423,666.8438508,560.0052303,3041.931441,677.222674,731.2283637,2213.583958,633.4900907,777.744789,142.9916034,939.3520623,747.033497
AhKP_16498,94.5021446,299.530439,109.1252017,86.12860139,426.0757736,136.5584567,97.59427251,581.8437529,115.4881777,58.31882655,144.2162873,56.22306275,158.7467337,5.106842978,153.3972639,128.0914771
AhKP_16501,1759.028555,493.0389652,323.5689119,6280.536763,1359.585495,257.1684806,6239.062421,672.0622224,299.3453566,4080.074827,525.1649709,175.8605102,799.4439828,53.62185127,590.4969944,625.9470226
AhKP_16502,12.88665608,0,43.14252159,11.74480928,1.20530629,0,4.64734631,0,0,6.729095371,0,1.307513087,11.42062833,0,68.45146723,172.6232796
AhKP_16503,85.91104054,209.0781777,279.1574927,70.46885568,154.8818583,403.6947079,146.3914088,224.2386598,319.6712759,100.9364306,141.4952253,242.5436777,345.4740069,219.5942481,151.747831,179.1279249
AhKP_16504,25.77331216,441.1401267,662.3645962,35.23442784,441.7447554,996.7770565,55.76815572,401.4068138,1009.828626,69.5339855,427.206738,1089.812158,156.4626081,20.42737191,215.2509994,156.611845
AhKP_16507,212.6298253,177.9388747,192.8724495,247.619729,144.0341017,119.6132468,243.9856813,109.1774233,121.0316102,289.351101,110.203012,96.75596845,52.5348903,0,131.9546356,125.5896904
